nqueries,snid,sntype,z,g_pkmag,r_pkmag,i_pkmag,z_pkmag,g_SNR,r_SNR,i_SNR,z_SNR,qclas,day_of_survey
123,881364,Ibc,0.3632,22.56,22.029,21.62,21.503,4.27,14.777142857142858,18.740000000000002,16.22,8,142
124,409847,Ibc,0.2988,23.564,23.358,23.421,23.457,3.4841666666666664,9.7475,6.550833333333333,3.27,10,143
125,37079,II,0.8421,24.393,23.559,23.674,23.54,2.2758333333333334,9.590000000000002,5.644615384615384,5.510000000000001,30,144
126,448108,II,0.2996,23.587,22.882,22.77,22.664,3.420714285714286,12.427857142857144,10.121428571428572,10.585384615384614,3,145
127,379544,II,0.5844,23.875,23.805,23.867,24.561,0.9585714285714287,2.3042857142857143,1.5857142857142859,1.02,27,146
128,624605,II,0.4039,23.934,23.826,23.901,23.649,1.268181818181818,3.967272727272727,2.597272727272727,2.7927272727272725,38,147
129,570863,II,0.2388,23.235,23.306,23.094,23.108,1.7566666666666666,4.426153846153846,4.685416666666667,4.680434782608696,25,148
130,20557,Ia,0.0385,17.058,17.163,17.625,17.6,43.44388888888889,52.584117647058825,51.00176470588235,52.061764705882354,0,149
131,690961,II,0.3375,22.692,23.015,22.969,22.918,10.934666666666667,17.079333333333334,12.884666666666666,11.508571428571427,20,150
132,596504,II,0.2070,20.905,21.419,21.289,21.654,15.631111111111109,20.21375,14.684999999999999,11.24875,17,151
133,488530,II,0.6306,23.563,23.239,22.925,23.025,5.552499999999999,15.178333333333333,14.184583333333334,14.9375,30,152
134,546847,II,1.0175,25.217,23.919,24.254,24.202,0.4993333333333333,6.254666666666666,3.511333333333333,3.6342857142857143,30,153
135,232984,II,0.2226,21.862,22.196,22.109,22.473,6.729230769230769,16.3025,13.383333333333335,10.0325,32,154
136,75577,II,0.7966,23.999,23.686,24.052,23.364,0.25275862068965516,2.9285714285714293,1.7876923076923075,1.3820000000000001,17,155
137,146515,II,0.2462,23.44,23.005,22.888,23.297,1.2388235294117649,4.946470588235294,4.087647058823529,3.5670588235294116,40,156
138,254463,II,0.6381,23.159,22.999,22.873,22.813,7.918611111111111,18.847499999999993,15.29542857142857,15.454411764705883,30,157
139,34223,II,0.5856,23.784,23.904,23.718,23.68,1.5939999999999999,2.936666666666667,2.833333333333334,2.4388888888888887,42,158
140,126895,Ia,0.4174,23.239,22.309,22.3,22.473,3.4730000000000003,12.553999999999998,10.056999999999999,7.526999999999999,0,159
141,54807,Ibc,0.3160,23.772,23.456,23.345,23.72,0.852,1.358,1.658,0.41000000000000003,16,160
142,418989,Ia,0.5274,24.627,23.223,23.228,23.116,1.4757142857142858,9.432857142857141,8.092142857142857,8.863076923076923,0,161
143,111544,II,0.8496,24.384,23.637,23.776,23.573,1.9585000000000001,7.264,3.7114999999999996,3.7226315789473685,30,162
144,277428,Ia,0.5839,23.539,22.523,22.563,22.658,0.6900000000000001,6.232307692307692,6.700769230769231,4.996428571428573,0,163
145,832727,II,0.8549,23.907,23.854,23.609,23.596,1.085,4.628125,3.268666666666667,3.24,30,164
146,329622,Ia,0.4747,23.06,22.108,22.34,22.379,4.9435,16.906,13.339499999999997,13.593684210526314,0,165
147,340741,Ia,0.4874,23.708,22.778,23.378,23.476,1.152,3.098,2.308,1.254,0,166
148,736173,II,0.1345,19.791,19.514,19.114,19.338,42.973846153846154,47.45384615384615,42.67961538461538,23.33076923076923,30,167
149,29572,II,0.2086,22.036,22.041,21.909,21.715,11.219999999999999,25.00625,22.449677419354835,21.030666666666665,43,168
150,158728,II,0.3641,23.445,23.62,23.553,23.368,3.2888888888888888,5.4833333333333325,4.497777777777778,3.50875,26,169
151,582179,II,0.4872,23.158,22.833,23.134,22.985,7.063333333333333,13.030833333333334,7.983333333333334,5.9,17,170
152,789831,II,0.5733,23.974,23.183,23.424,23.822,1.2775,4.732727272727273,2.656,2.244,17,171
153,24640,II,0.1770,22.095,22.225,22.101,22.536,8.226249999999999,9.544285714285715,7.941428571428571,5.797142857142857,19,172
154,793278,II,0.4125,23.937,23.941,23.648,23.508,2.18375,3.9414285714285717,3.6885714285714286,3.4414285714285713,36,173
155,443391,II,0.2487,22.137,22.383,22.27,22.457,4.2225925925925925,11.9088,9.952916666666667,9.594583333333333,32,174
156,393571,Ia,0.2455,21.093,20.922,20.967,21.52,6.824074074074073,14.489199999999999,13.316250000000002,11.382083333333334,0,175
157,347767,II,0.2907,22.36,22.623,22.682,22.762,4.946190476190476,11.09,8.89047619047619,7.282000000000001,24,176
158,33741,II,0.3305,22.601,22.785,22.829,22.679,3.983333333333333,8.90181818181818,6.3590909090909085,6.573636363636364,21,177
159,681768,II,0.6083,23.214,23.19,22.89,22.869,4.294615384615384,8.694166666666668,6.575,6.478333333333334,30,178
160,749849,Ia,0.4745,23.891,22.702,22.799,22.788,2.554444444444444,11.313333333333333,7.405000000000001,6.715555555555556,0,179
161,872011,II,0.5783,23.008,23.127,22.637,22.912,4.501290322580646,9.437000000000001,8.643928571428571,7.347037037037037,30,180
