# ID train/target Class
DES_SN167635 target 25
DES_SN556101 target 0
DES_SN465628 target 30
DES_SN477190 target 34
DES_SN461259 target 30
DES_SN816272 target 30
DES_SN023771 target 15
DES_SN388555 target 0
DES_SN338287 target 38
DES_SN121661 target 8
DES_SN034031 target 25
DES_SN798024 target 45
DES_SN186320 target 0
DES_SN889840 target 4
DES_SN359068 target 16
DES_SN336199 target 0
DES_SN388100 target 0
DES_SN288057 target 0
DES_SN766666 target 2
DES_SN407054 target 0
DES_SN432461 target 27
DES_SN523988 target 0
DES_SN068393 target 30
DES_SN802537 target 0
DES_SN255553 target 27
DES_SN648109 target 0
DES_SN304099 target 0
DES_SN616634 target 30
DES_SN889831 target 0
DES_SN164474 target 0
DES_SN019980 target 0
DES_SN402961 target 0
DES_SN296903 target 32
DES_SN298723 target 0
DES_SN177174 target 0
DES_SN645108 target 0
DES_SN252106 target 1
DES_SN612420 target 0
DES_SN261499 target 0
DES_SN451941 target 34
DES_SN741381 target 0
DES_SN858317 target 19
DES_SN199176 target 0
DES_SN294110 target 0
DES_SN892319 target 0
DES_SN784773 target 0
DES_SN438283 target 42
DES_SN522845 target 30
DES_SN059264 target 0
DES_SN242631 target 42
DES_SN086769 target 0
DES_SN316452 target 32
DES_SN688777 target 0
DES_SN417222 target 20
DES_SN755888 target 0
DES_SN563752 target 27
DES_SN076558 target 30
DES_SN082106 target 0
DES_SN012546 target 0
DES_SN092982 target 0
DES_SN350530 target 0
DES_SN514116 target 2
DES_SN002739 target 0
DES_SN270026 target 0
DES_SN124606 target 42
DES_SN264989 target 42
DES_SN574234 target 0
DES_SN887194 target 19
DES_SN703676 target 0
DES_SN451584 target 0
DES_SN140446 target 15
DES_SN092551 target 2
DES_SN736449 target 8
DES_SN685758 target 30
DES_SN133768 target 0
DES_SN192160 target 8
DES_SN511626 target 42
DES_SN284448 target 0
DES_SN322624 target 0
DES_SN434293 target 4
DES_SN653934 target 0
DES_SN663373 target 0
DES_SN838373 target 39
DES_SN786750 target 1
DES_SN177469 target 0
DES_SN202680 target 2
DES_SN701692 target 0
DES_SN506673 target 2
DES_SN590833 target 8
DES_SN390854 target 0
DES_SN881364 target 8
DES_SN251371 target 0
DES_SN299251 target 0
DES_SN562455 target 30
DES_SN286380 target 0
DES_SN295589 target 5
DES_SN178120 target 0
DES_SN037592 target 0
DES_SN190026 target 8
DES_SN873815 target 5
DES_SN003746 target 0
DES_SN389406 target 19
DES_SN873796 target 6
DES_SN720166 target 0
DES_SN225779 target 21
DES_SN151313 target 0
DES_SN745469 target 32
DES_SN595840 target 0
DES_SN645311 target 0
DES_SN582987 target 0
DES_SN088996 target 0
DES_SN727934 target 34
DES_SN312130 target 0
DES_SN039502 target 10
DES_SN653716 target 0
DES_SN642192 target 0
DES_SN644426 target 27
DES_SN126254 target 24
DES_SN059168 target 21
DES_SN465633 target 0
DES_SN380134 target 16
DES_SN857272 target 38
DES_SN831462 target 38
DES_SN073784 target 0
DES_SN563731 target 8
DES_SN625824 target 0
DES_SN098650 target 27
DES_SN590461 target 0
DES_SN298446 target 42
DES_SN221730 target 30
DES_SN262244 target 13
DES_SN776741 target 42
DES_SN318469 target 32
DES_SN008811 target 40
DES_SN540078 target 2
DES_SN163094 target 0
DES_SN703209 target 8
DES_SN101529 target 21
DES_SN563735 target 0
DES_SN136314 target 42
DES_SN356541 target 0
DES_SN653862 target 32
DES_SN309643 target 2
DES_SN360034 target 24
DES_SN434435 target 37
DES_SN346506 target 0
DES_SN290048 target 0
DES_SN164550 target 0
DES_SN487689 target 26
DES_SN846451 target 0
DES_SN886477 target 8
DES_SN732112 target 20
DES_SN723124 target 0
DES_SN598463 target 15
DES_SN150719 target 2
DES_SN725587 target 30
DES_SN849410 target 20
DES_SN653407 target 0
DES_SN370135 target 30
DES_SN332124 target 29
DES_SN402690 target 42
DES_SN515964 target 0
DES_SN083148 target 2
DES_SN269861 target 30
DES_SN500515 target 0
DES_SN523834 target 32
DES_SN653899 target 22
DES_SN669745 target 0
DES_SN205635 target 42
DES_SN308299 target 27
DES_SN354078 target 8
DES_SN821690 target 33
DES_SN664306 target 26
DES_SN547686 target 3
DES_SN551876 target 0
DES_SN560825 target 27
DES_SN480874 target 40
DES_SN898237 target 0
DES_SN780494 target 0
DES_SN764047 target 42
DES_SN720400 target 21
DES_SN796449 target 2
DES_SN619969 target 23
DES_SN623776 target 26
DES_SN220705 target 30
DES_SN496136 target 42
DES_SN597399 target 0
DES_SN178735 target 0
DES_SN349851 target 0
DES_SN672101 target 0
DES_SN467128 target 0
DES_SN050950 target 0
DES_SN203544 target 0
DES_SN432535 target 0
DES_SN520710 target 0
DES_SN649935 target 27
DES_SN610178 target 0
DES_SN778175 target 30
DES_SN204125 target 27
DES_SN613497 target 27
DES_SN284275 target 2
DES_SN571946 target 8
DES_SN168010 target 0
DES_SN632274 target 0
DES_SN475915 target 29
DES_SN706415 target 0
DES_SN407414 target 0
DES_SN322570 target 0
DES_SN819022 target 0
DES_SN354208 target 0
DES_SN076535 target 36
DES_SN800556 target 8
DES_SN614842 target 21
DES_SN038678 target 0
DES_SN865777 target 27
DES_SN082198 target 0
DES_SN785243 target 0
DES_SN041273 target 30
DES_SN526862 target 30
DES_SN719661 target 0
DES_SN707598 target 0
DES_SN400252 target 21
DES_SN583928 target 0
DES_SN826994 target 44
DES_SN222024 target 0
DES_SN013804 target 3
DES_SN688266 target 8
DES_SN335077 target 26
DES_SN123402 target 8
DES_SN598889 target 0
DES_SN279932 target 42
DES_SN437861 target 29
DES_SN827237 target 29
DES_SN876786 target 30
DES_SN804251 target 0
DES_SN062471 target 0
DES_SN796942 target 0
DES_SN475893 target 22
DES_SN863770 target 22
DES_SN348792 target 0
DES_SN248561 target 37
DES_SN278449 target 0
DES_SN893502 target 42
DES_SN039858 target 4
DES_SN822436 target 0
DES_SN047715 target 0
DES_SN704481 target 0
DES_SN278911 target 0
DES_SN509279 target 0
DES_SN149943 target 37
DES_SN640050 target 0
DES_SN117861 target 0
DES_SN246963 target 0
DES_SN600708 target 36
DES_SN038275 target 19
DES_SN553425 target 0
DES_SN729156 target 1
DES_SN760875 target 22
DES_SN289963 target 0
DES_SN680650 target 0
DES_SN490125 target 0
DES_SN251537 target 37
DES_SN147057 target 30
DES_SN780074 target 2
DES_SN088746 target 2
DES_SN791922 target 0
DES_SN881141 target 0
DES_SN225619 target 2
DES_SN896899 target 12
DES_SN706907 target 0
DES_SN122562 target 8
DES_SN552460 target 22
DES_SN361715 target 0
DES_SN298629 target 0
DES_SN638875 target 13
DES_SN181836 target 42
DES_SN065959 target 0
DES_SN631481 target 0
DES_SN505289 target 0
DES_SN474030 target 30
DES_SN840514 target 4
DES_SN118926 target 2
DES_SN257944 target 0
DES_SN155553 target 0
DES_SN455644 target 21
DES_SN882514 target 0
DES_SN448108 target 3
DES_SN749849 target 0
DES_SN282292 target 0
DES_SN028504 target 0
DES_SN161829 target 0
DES_SN006062 target 0
DES_SN425476 target 8
DES_SN514155 target 27
DES_SN021190 target 27
DES_SN594884 target 8
DES_SN251605 target 42
DES_SN353226 target 0
DES_SN847878 target 0
DES_SN474396 target 0
DES_SN109687 target 0
DES_SN089700 target 0
DES_SN777924 target 0
DES_SN817732 target 0
DES_SN609483 target 0
DES_SN148506 target 0
DES_SN126895 target 0
DES_SN726493 target 0
DES_SN771371 target 8
DES_SN451397 target 0
DES_SN748446 target 0
DES_SN553333 target 30
DES_SN518167 target 36
DES_SN028202 target 0
DES_SN112612 target 0
DES_SN490474 target 21
DES_SN268348 target 20
DES_SN585830 target 15
DES_SN253778 target 0
DES_SN711546 target 14
DES_SN388189 target 0
DES_SN427399 target 0
DES_SN315516 target 0
DES_SN874449 target 0
DES_SN540055 target 0
DES_SN046527 target 36
DES_SN784502 target 0
DES_SN293938 target 0
DES_SN421557 target 2
DES_SN464130 target 0
DES_SN212056 target 0
DES_SN673814 target 0
DES_SN182254 target 0
DES_SN894543 target 0
DES_SN428249 target 0
DES_SN108673 target 26
DES_SN776556 target 0
DES_SN655819 target 24
DES_SN732763 target 2
DES_SN631290 target 8
DES_SN132927 target 8
DES_SN265179 target 0
DES_SN657639 target 0
DES_SN726140 target 0
DES_SN590166 target 2
DES_SN787528 target 5
DES_SN731659 target 1
DES_SN458766 target 30
DES_SN416252 target 0
DES_SN091271 target 0
DES_SN446895 target 1
DES_SN148169 target 0
DES_SN154191 target 0
DES_SN134974 target 0
DES_SN713403 target 0
DES_SN850092 target 0
DES_SN716919 target 1
DES_SN471142 target 0
DES_SN544372 target 30
DES_SN086969 target 21
DES_SN410424 target 35
DES_SN163688 target 21
DES_SN071914 target 0
DES_SN504179 target 0
DES_SN093461 target 0
DES_SN274360 target 0
DES_SN355689 target 32
DES_SN853346 target 0
DES_SN690510 target 22
DES_SN082486 target 0
DES_SN293812 target 0
DES_SN490460 target 29
DES_SN460496 target 19
DES_SN635044 target 0
DES_SN612685 target 21
DES_SN821533 target 0
DES_SN293606 target 30
DES_SN558148 target 2
DES_SN072412 target 30
DES_SN424998 target 0
DES_SN730528 target 0
DES_SN356242 target 0
DES_SN368220 target 0
DES_SN516272 target 34
DES_SN342436 target 4
DES_SN521111 target 30
DES_SN365795 target 15
DES_SN882966 target 0
DES_SN346130 target 22
DES_SN310490 target 0
DES_SN880941 target 30
DES_SN155823 target 2
DES_SN677089 target 0
DES_SN739098 target 0
DES_SN437291 target 0
DES_SN710176 target 3
DES_SN046211 target 22
DES_SN734849 target 0
DES_SN711446 target 0
DES_SN025913 target 0
DES_SN729308 target 40
DES_SN729034 target 0
DES_SN041848 target 0
DES_SN036404 target 0
DES_SN202451 target 5
DES_SN030701 target 0
DES_SN312500 target 0
DES_SN647032 target 0
DES_SN306489 target 0
DES_SN380686 target 0
DES_SN453353 target 0
DES_SN659809 target 22
DES_SN580711 target 30
DES_SN312458 target 44
DES_SN089269 target 42
DES_SN840198 target 0
DES_SN429487 target 0
DES_SN364421 target 0
DES_SN010972 target 35
DES_SN198531 target 40
DES_SN499341 target 0
DES_SN593458 target 21
DES_SN337941 target 0
DES_SN698294 target 0
DES_SN847781 target 0
DES_SN454150 target 0
DES_SN266553 target 35
DES_SN037426 target 22
DES_SN553558 target 15
DES_SN152300 target 30
DES_SN857851 target 0
DES_SN555204 target 1
DES_SN825573 target 0
DES_SN714120 target 0
DES_SN453162 target 20
DES_SN734587 target 8
DES_SN241274 target 3
DES_SN765001 target 8
DES_SN419142 target 2
DES_SN541292 target 0
DES_SN203456 target 0
DES_SN087105 target 0
DES_SN672692 target 42
DES_SN279072 target 22
DES_SN443530 target 37
DES_SN129012 target 6
DES_SN014368 target 0
DES_SN143700 target 0
DES_SN332531 target 42
DES_SN752763 target 2
DES_SN651681 target 0
DES_SN487816 target 42
DES_SN714759 target 0
DES_SN170420 target 42
DES_SN621349 target 0
DES_SN651016 target 0
DES_SN111246 target 24
DES_SN703246 target 30
DES_SN765877 target 30
DES_SN612649 target 0
DES_SN122521 target 0
DES_SN050560 target 23
DES_SN045040 target 0
DES_SN499318 target 0
DES_SN092349 target 26
DES_SN124038 target 18
DES_SN318991 target 18
DES_SN855334 target 0
DES_SN316863 target 0
DES_SN468726 target 0
DES_SN253020 target 44
DES_SN009140 target 0
DES_SN590365 target 0
DES_SN104218 target 0
DES_SN702356 target 0
DES_SN760195 target 21
DES_SN220618 target 0
DES_SN607525 target 6
DES_SN414269 target 13
DES_SN194278 target 8
DES_SN867205 target 0
DES_SN757606 target 0
DES_SN163111 target 0
DES_SN219631 target 2
DES_SN051273 target 0
DES_SN383967 target 0
DES_SN394366 target 0
DES_SN712617 target 42
DES_SN476958 target 30
DES_SN613757 target 30
DES_SN037746 target 0
DES_SN438611 target 16
DES_SN550741 target 0
DES_SN020056 target 23
DES_SN688784 target 33
DES_SN560681 target 22
DES_SN573958 target 33
DES_SN413764 target 0
DES_SN206846 target 22
DES_SN087000 target 30
DES_SN754654 target 42
DES_SN144223 target 0
DES_SN800234 target 30
DES_SN814827 target 0
DES_SN429011 target 0
DES_SN670880 target 0
DES_SN286856 target 0
DES_SN319525 target 0
DES_SN727906 target 0
DES_SN885352 target 0
DES_SN569520 target 18
DES_SN058026 target 8
DES_SN330309 target 16
DES_SN121305 target 30
DES_SN663996 target 0
DES_SN331129 target 0
DES_SN704007 target 0
DES_SN761223 target 0
DES_SN578620 target 0
DES_SN098639 target 0
DES_SN162899 target 30
DES_SN196781 target 0
DES_SN622389 target 0
DES_SN667283 target 30
DES_SN830513 target 30
DES_SN603232 target 35
DES_SN732612 target 8
DES_SN272221 target 0
DES_SN751305 target 0
DES_SN227627 target 0
DES_SN188753 target 0
DES_SN702314 target 17
DES_SN470941 target 16
DES_SN809605 target 36
DES_SN788244 target 27
DES_SN797559 target 38
DES_SN411246 target 27
DES_SN848773 target 0
DES_SN144923 target 0
DES_SN480613 target 17
DES_SN326874 target 0
DES_SN863260 target 0
DES_SN865936 target 27
DES_SN796382 target 0
DES_SN701092 target 0
DES_SN122798 target 24
DES_SN177086 target 0
DES_SN854976 target 0
DES_SN096586 target 0
DES_SN076402 target 0
DES_SN139524 target 24
DES_SN542401 target 22
DES_SN741222 target 0
DES_SN841080 target 8
DES_SN812170 target 2
DES_SN081764 target 30
DES_SN311394 target 0
DES_SN051037 target 32
DES_SN049994 target 0
DES_SN313608 target 21
DES_SN272720 target 8
DES_SN454364 target 30
DES_SN417462 target 0
DES_SN188058 target 25
DES_SN876931 target 43
DES_SN500790 target 30
DES_SN891013 target 41
DES_SN876854 target 0
DES_SN676452 target 30
DES_SN405911 target 0
DES_SN102256 target 0
DES_SN323019 target 0
DES_SN321524 target 0
DES_SN872233 target 0
DES_SN102293 target 0
DES_SN243312 target 2
DES_SN234552 target 30
DES_SN336937 target 30
DES_SN867512 target 0
DES_SN812557 target 0
DES_SN429689 target 0
DES_SN830712 target 0
DES_SN396112 target 30
DES_SN625224 target 13
DES_SN429626 target 16
DES_SN651153 target 0
DES_SN411038 target 0
DES_SN456523 target 8
DES_SN808089 target 30
DES_SN083399 target 0
DES_SN805984 target 0
DES_SN071285 target 0
DES_SN479602 target 0
DES_SN223028 target 0
DES_SN416619 target 24
DES_SN443908 target 42
DES_SN660814 target 0
DES_SN346862 target 0
DES_SN778730 target 30
DES_SN801781 target 2
DES_SN798119 target 30
DES_SN035731 target 0
DES_SN600621 target 0
DES_SN495446 target 0
DES_SN389450 target 0
DES_SN582052 target 0
DES_SN337489 target 0
DES_SN106106 target 2
DES_SN066967 target 30
DES_SN508532 target 0
DES_SN304084 target 0
DES_SN183957 target 0
DES_SN827605 target 0
DES_SN055477 target 0
DES_SN853598 target 0
DES_SN254899 target 0
DES_SN643653 target 0
DES_SN545586 target 0
DES_SN362229 target 0
DES_SN556769 target 32
DES_SN216192 target 0
DES_SN241008 target 0
DES_SN338820 target 0
DES_SN222027 target 0
DES_SN329531 target 0
DES_SN659386 target 0
DES_SN551241 target 2
DES_SN651529 target 0
DES_SN305050 target 33
DES_SN788660 target 0
DES_SN414485 target 30
DES_SN568832 target 0
DES_SN404419 target 30
DES_SN501247 target 0
DES_SN027531 target 26
DES_SN164351 target 0
DES_SN191105 target 23
DES_SN509464 target 23
DES_SN871070 target 8
DES_SN646257 target 0
DES_SN898751 target 0
DES_SN187428 target 0
DES_SN495919 target 30
DES_SN449864 target 0
DES_SN514424 target 30
DES_SN077015 target 0
DES_SN405692 target 0
DES_SN420055 target 8
DES_SN049631 target 2
DES_SN117179 target 0
DES_SN881227 target 0
DES_SN875377 target 0
DES_SN877200 target 0
DES_SN251010 target 0
DES_SN795077 target 0
DES_SN122495 target 0
DES_SN053010 target 0
DES_SN644659 target 21
DES_SN107930 target 32
DES_SN264346 target 30
DES_SN580539 target 0
DES_SN466483 target 4
DES_SN277003 target 27
DES_SN654650 target 0
DES_SN395236 target 37
DES_SN055895 target 0
DES_SN557945 target 30
DES_SN666795 target 0
DES_SN813097 target 0
DES_SN718213 target 1
DES_SN248382 target 0
DES_SN768393 target 0
DES_SN879090 target 0
DES_SN895074 target 30
DES_SN187803 target 2
DES_SN396486 target 0
DES_SN377867 target 8
DES_SN635572 target 0
DES_SN850711 target 27
DES_SN112414 target 24
DES_SN396355 target 2
DES_SN495846 target 27
DES_SN591140 target 0
DES_SN356731 target 0
DES_SN307975 target 0
DES_SN447836 target 0
DES_SN660461 target 27
DES_SN250461 target 15
DES_SN530548 target 8
DES_SN748391 target 1
DES_SN573611 target 0
DES_SN874315 target 0
DES_SN720712 target 0
DES_SN672883 target 36
DES_SN049882 target 27
DES_SN282254 target 39
DES_SN047111 target 2
DES_SN681544 target 0
DES_SN891664 target 8
DES_SN505337 target 8
DES_SN058056 target 0
DES_SN031015 target 0
DES_SN017926 target 35
DES_SN573070 target 0
DES_SN353297 target 0
DES_SN311873 target 32
DES_SN532087 target 0
DES_SN785634 target 13
DES_SN506307 target 0
DES_SN287689 target 0
DES_SN010725 target 0
DES_SN354229 target 1
DES_SN742601 target 0
DES_SN160226 target 1
DES_SN401661 target 0
DES_SN194826 target 12
DES_SN737612 target 30
DES_SN787839 target 0
DES_SN621653 target 2
DES_SN656088 target 30
DES_SN400533 target 0
DES_SN567906 target 26
DES_SN641053 target 2
DES_SN036206 target 19
DES_SN317143 target 30
DES_SN896830 target 32
DES_SN603260 target 34
DES_SN740344 target 0
DES_SN499586 target 2
DES_SN151726 target 0
DES_SN494447 target 0
DES_SN570863 target 25
DES_SN737521 target 0
DES_SN110803 target 0
DES_SN201677 target 0
DES_SN186088 target 0
DES_SN110659 target 0
DES_SN039466 target 32
DES_SN221253 target 0
DES_SN437280 target 30
DES_SN519185 target 0
DES_SN703907 target 0
DES_SN788289 target 0
DES_SN396804 target 0
DES_SN721129 target 8
DES_SN502030 target 0
DES_SN569095 target 0
DES_SN846245 target 0
DES_SN799606 target 0
DES_SN450420 target 27
DES_SN432516 target 0
DES_SN695641 target 0
DES_SN027538 target 24
DES_SN211091 target 30
DES_SN107139 target 23
DES_SN005754 target 0
DES_SN741344 target 21
DES_SN191451 target 0
DES_SN155898 target 2
DES_SN438518 target 0
DES_SN339786 target 0
DES_SN210840 target 27
DES_SN291519 target 8
DES_SN224587 target 0
DES_SN506753 target 32
DES_SN366407 target 0
DES_SN420391 target 0
DES_SN560311 target 0
DES_SN782265 target 0
DES_SN530210 target 0
DES_SN390619 target 0
DES_SN615912 target 2
DES_SN303595 target 35
DES_SN682601 target 42
DES_SN546926 target 30
DES_SN748208 target 0
DES_SN525170 target 0
DES_SN782726 target 0
DES_SN434792 target 0
DES_SN533191 target 22
DES_SN233301 target 44
DES_SN046970 target 30
DES_SN686965 target 30
DES_SN089818 target 32
DES_SN546089 target 0
DES_SN633935 target 0
DES_SN712709 target 20
DES_SN638332 target 22
DES_SN887920 target 0
DES_SN223704 target 35
DES_SN430894 target 0
DES_SN415247 target 0
DES_SN344628 target 0
DES_SN257622 target 15
DES_SN415961 target 0
DES_SN002457 target 22
DES_SN561970 target 0
DES_SN748085 target 27
DES_SN705730 target 0
DES_SN871246 target 0
DES_SN193708 target 0
DES_SN124710 target 0
DES_SN482220 target 0
DES_SN216806 target 42
DES_SN629375 target 0
DES_SN577143 target 0
DES_SN633192 target 0
DES_SN188225 target 26
DES_SN639591 target 0
DES_SN048624 target 0
DES_SN257626 target 21
DES_SN329817 target 0
DES_SN569527 target 0
DES_SN526334 target 0
DES_SN786507 target 0
DES_SN535838 target 0
DES_SN019459 target 0
DES_SN061243 target 0
DES_SN156473 target 0
DES_SN850005 target 8
DES_SN676369 target 0
DES_SN045650 target 30
DES_SN696781 target 26
DES_SN836224 target 0
DES_SN870944 target 36
DES_SN479960 target 0
DES_SN463008 target 42
DES_SN166511 target 30
DES_SN007348 target 0
DES_SN387834 target 30
DES_SN635757 target 22
DES_SN712958 target 0
DES_SN257311 target 0
DES_SN481261 target 30
DES_SN022557 target 13
DES_SN447271 target 0
DES_SN656849 target 0
DES_SN186012 target 0
DES_SN354712 target 22
DES_SN867661 target 25
DES_SN833889 target 23
DES_SN581015 target 0
DES_SN595347 target 0
DES_SN174346 target 29
DES_SN670128 target 18
DES_SN431592 target 0
DES_SN362872 target 29
DES_SN289855 target 44
DES_SN630338 target 23
DES_SN747663 target 24
DES_SN619847 target 33
DES_SN481103 target 0
DES_SN170440 target 0
DES_SN713953 target 0
DES_SN861084 target 35
DES_SN406525 target 0
DES_SN405642 target 0
DES_SN417954 target 4
DES_SN665463 target 21
DES_SN662904 target 0
DES_SN228338 target 0
DES_SN527413 target 0
DES_SN700658 target 0
DES_SN844773 target 0
DES_SN139929 target 2
DES_SN078982 target 8
DES_SN850436 target 0
DES_SN115256 target 10
DES_SN103356 target 0
DES_SN195436 target 0
DES_SN823535 target 0
DES_SN891172 target 0
DES_SN274740 target 42
DES_SN039831 target 42
DES_SN226937 target 0
DES_SN804722 target 0
DES_SN097203 target 0
DES_SN872011 target 30
DES_SN519678 target 35
DES_SN666004 target 30
DES_SN535064 target 0
DES_SN319509 target 0
DES_SN517391 target 13
DES_SN229446 target 0
DES_SN373372 target 37
DES_SN226755 target 24
DES_SN281406 target 5
DES_SN089647 target 0
DES_SN608444 target 0
DES_SN064162 target 27
DES_SN349395 target 0
DES_SN640657 target 0
DES_SN337404 target 15
DES_SN891997 target 0
DES_SN276532 target 25
DES_SN646471 target 0
DES_SN365083 target 0
DES_SN383603 target 24
DES_SN892616 target 0
DES_SN436589 target 2
DES_SN029695 target 22
DES_SN805807 target 0
DES_SN788889 target 0
DES_SN219590 target 0
DES_SN021647 target 0
DES_SN300039 target 8
DES_SN776960 target 36
DES_SN720404 target 0
DES_SN216507 target 0
DES_SN080527 target 19
DES_SN293713 target 30
DES_SN579154 target 27
DES_SN416716 target 2
DES_SN369311 target 23
DES_SN583998 target 0
DES_SN117042 target 2
DES_SN190345 target 30
DES_SN156732 target 0
DES_SN183273 target 2
DES_SN726165 target 0
DES_SN424150 target 2
DES_SN618202 target 0
DES_SN810504 target 0
DES_SN462130 target 8
DES_SN559187 target 0
DES_SN304375 target 42
DES_SN421705 target 0
DES_SN736555 target 27
DES_SN838408 target 0
DES_SN520220 target 32
DES_SN207566 target 0
DES_SN558540 target 8
DES_SN091961 target 30
DES_SN625130 target 0
DES_SN040753 target 22
DES_SN095394 target 24
DES_SN016742 target 2
DES_SN069364 target 0
